epoch,train_loss,eval_loss,eval_accuracy,eval_f1
1,1.5661,1.4162639379501343,0.5280898876404494,0.4685250734210342
2,1.0973,0.6109035015106201,0.9213483146067416,0.9324743574276442
3,0.4015,0.3105255365371704,0.898876404494382,0.9128997384481256
4,0.1247,0.18283307552337646,0.9438202247191011,0.951766838846509
5,0.0384,0.11018870025873184,0.9662921348314607,0.9727131782945737
6,0.0176,0.18649733066558838,0.9550561797752809,0.9635610766045548
7,0.0121,0.12343690544366837,0.9662921348314607,0.9727131782945737
8,0.0101,0.18436431884765625,0.9550561797752809,0.9635610766045548
